"Address","RoutingKey","Date","Price","FullMarketPrice","VATExclusive","DescriptionofProperty","PropertySizeDesc","OtherPropertiesInThisSale"
"36 THE WILLOWS, HACKETTSTOWN RD, CARLOW, CARLOW","NA","15/09/2010","210000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"CURRAGHCRUIT, BAGENALSTOWN, CARLOW","NA","14/09/2010","150000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"104 CHURCH STREET, GRAIGUECULLEN  CARLOW, CARLOW","R93","13/09/2010","125000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"19 PARK COURT, PHELIM WOOD, TULLOW, CARLOW","R93","13/09/2010","90000.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN 125 SQ METRES","NO OTHER PROPERTIES"
"41 BROWNSHILL WOOD, BROWNSHILL, CARLOW","R93","10/09/2010","92500.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"55 OAKLEY CRESCENT, GRAIGUECULLEN, CARLOW, CARLOW","R93","03/09/2010","125000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"61 PAIRC MHUIRE, TULLOW, CARLOW","R93","03/09/2010","95000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"9 GORT NA GREINNE, BALLINABRANNAGH, CARLOW","R93","03/09/2010","162995.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN 125 SQ METRES","NO OTHER PROPERTIES"
"JOHNSBERRY HOUSE, KNOCKNAGEE, CARLOW, CARLOW","NA","03/09/2010","365000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"141 CROSSNEEN MANOR, CROSSNEEN, CARLOW","R93","02/09/2010","184779.73","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"8 BOURLUM COURT, GREEN ROAD, CARLOW, CARLOW","R93","02/09/2010","207000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"44 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","01/09/2010","140088.10","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"7 BROWEHILL WOOD, BROWNEHILL ROAD  CARLOW, CARLOW","NA","01/09/2010","157709.25","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN 125 SQ METRES","NO OTHER PROPERTIES"
"15 POACHERS LOCK, LEIGHLINBRIDGE, CARLOW","R93","27/08/2010","125000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"22 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","26/08/2010","92511.01","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"26 GORT NA GREINE, BALLINABRANNAGH, CARLOW, CARLOW","R93","26/08/2010","139207.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"20 CLARENCE GATE, KILKENNY ROAD, CARLOW, CARLOW","R93","25/08/2010","103964.75","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"31 BROWNSHILL WOOD, BROWNSHILL ROAD, CARLOW, CARLOW","R93","25/08/2010","149000.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","LESS THAN 38 SQ METRES","NO OTHER PROPERTIES"
"TEACHERS RESIDENCE, OLD LEIGHLIN, CARLOW, CARLOW","NA","25/08/2010","55000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"24 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","24/08/2010","131277.53","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"THE BEACHES, GARRYHUNDON, BALLYBAR, CARLOW","NA","24/08/2010","220000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"124 CLUAIN BUI, QUINAGH, CARLOW, CARLOW","R93","23/08/2010","1453745.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"36 SYCAMORE ROAD, RATHNAPISH, CARLOW","R93","18/08/2010","210000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
