"Date","Price","Url","Address","County"
"04/08/2016","150,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-AB6E34BF5E0BDA36802580120047776B?OpenDocument","43 MOUNT CLARE CT, CASTLECOMER RD, CARLOW","Carlow"
"04/08/2016","167,400.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-583B8867695AA16D802580190047759B?OpenDocument","75 Park Gate, Tullow, Co Carlow","Carlow"
"03/08/2016","60,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-93EBC3C823011F438025800B004775CA?OpenDocument","APT 4, BRIDEWELL LANE, CARLOW","Carlow"
"29/07/2016","90,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-67AF089322FDE3278025801900477208?OpenDocument","17 MILLBROOK, MILL LANE, CARLOW","Carlow"
"29/07/2016","170,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-CF120F62259081EF8025800400477C16?OpenDocument","18 MONACURRAGH, BLACKBOG RD, CARLOW","Carlow"
"29/07/2016","80,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-70E6560AB7EF9E738025800400477CB8?OpenDocument","22 MILLBROOK, MILL LANE, CARLOW","Carlow"
"29/07/2016","125,110.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-4184498CD0F057E58025804A00477A25?OpenDocument","49 Wolseley Park, Tullow","Carlow"
"29/07/2016","145,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-F273DF6B471E08B58025800B004771A1?OpenDocument","WOODGLADE, FENAGH, CARLOW","Carlow"
"28/07/2016","84,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-C335F2892826FEF880258020004772AE?OpenDocument","29 WOLSELEY VILLAGE, TULLOW, CO CARLOW","Carlow"
"27/07/2016","115,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-719309D6332F31A080258004004777EC?OpenDocument","14 ASHFIELD, BAGENALSTOWN, CARLOW","Carlow"
"27/07/2016","115,500.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-9C51724E2FDB67DD8025800400477A5C?OpenDocument","KILCARRIG, BAGENALSTOWN, CARLOW","Carlow"
"26/07/2016","268,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-3403A87BB906B808802580040047775A?OpenDocument","31 THE CRESCENT, CASTLEOAKS, DUBLIN ROAD","Carlow"
"26/07/2016","123,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-ACBE36EE24B98E19802580040047775D?OpenDocument","4 SCHOOLHOUSE GATE, BALLINKILLEN, BAGENALSTOWN","Carlow"
"26/07/2016","220,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-8977EB1852D092CE8025800400477A04?OpenDocument","KNOCKROE, FINNEGAN'S CROSS, RATHVILLY","Carlow"
"25/07/2016","240,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-53546C533A5FB8A5802580040047788A?OpenDocument","19 THE MILLSTREAM, BLACKBOG RD, CARLOW","Carlow"
"25/07/2016","185,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-FC3251D2D73D16E18025800B00477188?OpenDocument","2 FRIARS GREEN, TULLOW RD, CARLOW","Carlow"
"22/07/2016","131,852.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-81A18BB598959DEF8025802000477480?OpenDocument","34 Rathglen, Killeshin, Carlow","Carlow"
"22/07/2016","142,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-70418C08660E9090802580190047749A?OpenDocument","54 WOLSELEY PARK, MOUNT WOLSELEY, TULLOW","Carlow"
"20/07/2016","90,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-2035248173D7494E8025800400477945?OpenDocument","12 HANOVER CRESCENT, CARLOW, CARLOW","Carlow"
"20/07/2016","215,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-086792B578951A9A8025800B0047753C?OpenDocument","4 CARRIGBEG, BLACKBOG RD, CARLOW","Carlow"
"20/07/2016","90,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-C1D01887A9F81C798025800400477955?OpenDocument","9 HANOVER CRESCENT, CARLOW, CARLOW","Carlow"
